"Clave de la
Entidad
Federativa",Entidad Federativa,"Clave del
Municipio",Municipio,"Atención
Especial"
21,PUEBLA,039,CUAUTEMPAN,1
21,PUEBLA,040,CUAUTINCHAN,1
21,PUEBLA,041,CUAUTLANCINGO,1
21,PUEBLA,042,CUAYUCA DE ANDRADE,1
21,PUEBLA,043,CUETZALAN DEL PROGRESO,1
21,PUEBLA,044,CUYOACO,1
21,PUEBLA,045,CHALCHICOMULA DE SESMA,1
21,PUEBLA,046,CHAPULCO,1
21,PUEBLA,047,CHIAUTLA,1
21,PUEBLA,048,CHIAUTZINGO,1
21,PUEBLA,049,CHICONCUAUTLA,1
21,PUEBLA,050,CHICHIQUILA,1
21,PUEBLA,051,CHIETLA,1
21,PUEBLA,052,CHIGMECATITLAN,1
21,PUEBLA,053,CHIGNAHUAPAN,1
21,PUEBLA,054,CHIGNAUTLA,1
21,PUEBLA,055,CHILA,1
21,PUEBLA,057,HONEY,1
21,PUEBLA,058,CHILCHOTLA,1
21,PUEBLA,059,CHINANTLA,1
21,PUEBLA,060,DOMINGO ARENAS,1
21,PUEBLA,061,ELOXOCHITLAN,1
21,PUEBLA,062,EPATLAN,1
21,PUEBLA,063,ESPERANZA,1
21,PUEBLA,064,FRANCISCO Z. MENA,1
21,PUEBLA,065,GENERAL FELIPE ANGELES,1
21,PUEBLA,066,GUADALUPE,1
21,PUEBLA,067,GUADALUPE VICTORIA,1
21,PUEBLA,069,HUAQUECHULA,1
21,PUEBLA,070,HUATLATLAUCA,1
21,PUEBLA,071,HUAUCHINANGO,1
21,PUEBLA,073,HUEHUETLAN EL CHICO,1
21,PUEBLA,074,HUEJOTZINGO,1
21,PUEBLA,075,HUEYAPAN,1
21,PUEBLA,076,HUEYTAMALCO,1
21,PUEBLA,078,HUITZILAN DE SERDAN,1
21,PUEBLA,079,HUITZILTEPEC,1
21,PUEBLA,082,IXCAQUIXTLA,1

21,PUEBLA,083,IXTACAMAXTITLAN,1
21,PUEBLA,085,IZUCAR DE MATAMOROS,1
21,PUEBLA,086,JALPAN,1
21,PUEBLA,087,JOLALPAN,1
21,PUEBLA,088,JONOTLA,1
21,PUEBLA,089,JOPALA,1
21,PUEBLA,090,JUAN C. BONILLA,1
21,PUEBLA,091,JUAN GALINDO,1
21,PUEBLA,093,LAFRAGUA,1
21,PUEBLA,094,LIBRES,1
21,PUEBLA,095,LA MAGDALENA TLATLAUQUITEPEC,1
21,PUEBLA,096,MAZAPILTEPEC DE JUAREZ,1
21,PUEBLA,097,MIXTLA,1
21,PUEBLA,098,MOLCAXAC,1
21,PUEBLA,099,CAÑADA MORELOS,1
21,PUEBLA,100,NAUPAN,1
21,PUEBLA,101,NAUZONTLA,1
21,PUEBLA,102,NEALTICAN,1
21,PUEBLA,103,NICOLAS BRAVO,1
21,PUEBLA,104,NOPALUCAN,1
21,PUEBLA,105,OCOTEPEC,1
21,PUEBLA,106,OCOYUCAN,1
21,PUEBLA,108,ORIENTAL,1
21,PUEBLA,109,PAHUATLAN,1
21,PUEBLA,110,PALMAR DE BRAVO,1
21,PUEBLA,111,PANTEPEC,1
21,PUEBLA,112,PETLALCINGO,1
21,PUEBLA,113,PIAXTLA,1
21,PUEBLA,114,PUEBLA,1
21,PUEBLA,115,QUECHOLAC,1
21,PUEBLA,116,QUIMIXTLAN,1
21,PUEBLA,117,RAFAEL LARA GRAJALES,1
21,PUEBLA,118,LOS REYES DE JUAREZ,1
21,PUEBLA,119,SAN ANDRES CHOLULA,1
21,PUEBLA,120,SAN ANTONIO CAÑADA,1
21,PUEBLA,122,SAN FELIPE TEOTLALCINGO,1
21,PUEBLA,123,SAN FELIPE TEPATLAN,1
21,PUEBLA,124,SAN GABRIEL CHILAC,1
21,PUEBLA,125,SAN GREGORIO ATZOMPA,1
21,PUEBLA,126,SAN JERONIMO TECUANIPAN,1
21,PUEBLA,127,SAN JERONIMO XAYACATLAN,1
21,PUEBLA,128,SAN JOSE CHIAPA,1
21,PUEBLA,129,SAN JOSE MIAHUATLAN,1
21,PUEBLA,130,SAN JUAN ATENCO,1
21,PUEBLA,132,SAN MARTIN TEXMELUCAN,1
21,PUEBLA,133,SAN MARTIN TOTOLTEPEC,1
21,PUEBLA,134,SAN MATIAS TLALANCALECA,1
21,PUEBLA,136,SAN MIGUEL XOXTLA,1
21,PUEBLA,137,SAN NICOLAS BUENOS AIRES,1
21,PUEBLA,138,SAN NICOLAS DE LOS RANCHOS,1
21,PUEBLA,139,SAN PABLO ANICANO,1
21,PUEBLA,140,SAN PEDRO CHOLULA,1
21,PUEBLA,141,SAN PEDRO YELOIXTLAHUACA,1
21,PUEBLA,142,SAN SALVADOR EL SECO,1
21,PUEBLA,143,SAN SALVADOR EL VERDE,1
21,PUEBLA,144,SAN SALVADOR HUIXCOLOTLA,1
21,PUEBLA,145,SAN SEBASTIAN TLACOTEPEC,1
21,PUEBLA,146,SANTA CATARINA TLALTEMPAN,1
21,PUEBLA,147,SANTA INES AHUATEMPAN,1
21,PUEBLA,148,SANTA ISABEL CHOLULA,1
21,PUEBLA,149,SANTIAGO MIAHUATLAN,1
21,PUEBLA,150,HUEHUETLAN EL GRANDE,1
21,PUEBLA,151,SANTO TOMAS HUEYOTLIPAN,1
21,PUEBLA,152,SOLTEPEC,1
21,PUEBLA,153,TECALI DE HERRERA,1
21,PUEBLA,154,TECAMACHALCO,1
21,PUEBLA,155,TECOMATLAN,1
21,PUEBLA,156,TEHUACAN,1
21,PUEBLA,157,TEHUITZINGO,1
21,PUEBLA,158,TENAMPULCO,1
21,PUEBLA,159,TEOPANTLAN,1
21,PUEBLA,160,TEOTLALCO,1
21,PUEBLA,161,TEPANCO DE LOPEZ,1
21,PUEBLA,162,TEPANGO DE RODRIGUEZ,1
21,PUEBLA,163,TEPATLAXCO DE HIDALGO,1
21,PUEBLA,164,TEPEACA,1
21,PUEBLA,166,TEPEOJUMA,1
21,PUEBLA,167,TEPETZINTLA,1
21,PUEBLA,168,TEPEXCO,1
21,PUEBLA,169,TEPEXI DE RODRIGUEZ,1
21,PUEBLA,170,TEPEYAHUALCO,1
21,PUEBLA,171,TEPEYAHUALCO DE CUAUHTEMOC,1
21,PUEBLA,172,TETELA DE OCAMPO,1
21,PUEBLA,173,TETELES DE AVILA CASTILLO,1
21,PUEBLA,174,TEZIUTLAN,1
21,PUEBLA,175,TIANGUISMANALCO,1

21,PUEBLA,176,TILAPA,1
21,PUEBLA,177,TLACOTEPEC DE BENITO JUAREZ,1
21,PUEBLA,179,TLACHICHUCA,1
21,PUEBLA,180,TLAHUAPAN,1
21,PUEBLA,181,TLALTENANGO,1
21,PUEBLA,182,TLANEPANTLA,1
21,PUEBLA,183,TLAOLA,1
21,PUEBLA,184,TLAPACOYA,1
21,PUEBLA,185,TLAPANALA,1
21,PUEBLA,186,TLATLAUQUITEPEC,1
21,PUEBLA,187,TLAXCO,1
21,PUEBLA,188,TOCHIMILCO,1
21,PUEBLA,189,TOCHTEPEC,1
21,PUEBLA,191,TULCINGO,1
21,PUEBLA,192,TUZAMAPAN DE GALEANA,1
21,PUEBLA,193,TZICATLACOYAN,1
21,PUEBLA,194,VENUSTIANO CARRANZA,1
21,PUEBLA,195,VICENTE GUERRERO,1
21,PUEBLA,196,XAYACATLAN DE BRAVO,1
21,PUEBLA,197,XICOTEPEC,1
21,PUEBLA,199,XIUTETELCO,1
21,PUEBLA,200,XOCHIAPULCO,1
21,PUEBLA,201,XOCHILTEPEC,1
21,PUEBLA,202,XOCHITLAN DE VICENTE SUAREZ,1
21,PUEBLA,203,XOCHITLAN TODOS SANTOS,1
21,PUEBLA,204,YAONAHUAC,1
21,PUEBLA,205,YEHUALTEPEC,1
21,PUEBLA,206,ZACAPALA,1
21,PUEBLA,207,ZACAPOAXTLA,1
21,PUEBLA,208,ZACATLAN,1
21,PUEBLA,209,ZAPOTITLAN,1
21,PUEBLA,210,ZAPOTITLAN DE MENDEZ,1
21,PUEBLA,211,ZARAGOZA,1
21,PUEBLA,212,ZAUTLA,1
21,PUEBLA,213,ZIHUATEUTLA,1
21,PUEBLA,214,ZINACATEPEC,1
21,PUEBLA,216,ZOQUIAPAN,1
21,PUEBLA,217,ZOQUITLAN,1
22,QUERETARO,001,AMEALCO DE BONFIL,1
22,QUERETARO,002,PINAL DE AMOLES,1
22,QUERETARO,003,ARROYO SECO,1
22,QUERETARO,004,CADEREYTA DE MONTES,1
22,QUERETARO,005,COLON,1
22,QUERETARO,006,CORREGIDORA,1
22,QUERETARO,007,EZEQUIEL MONTES,1
22,QUERETARO,008,HUIMILPAN,1
22,QUERETARO,010,LANDA DE MATAMOROS,1
22,QUERETARO,011,EL MARQUES,1
22,QUERETARO,012,PEDRO ESCOBEDO,1
22,QUERETARO,014,QUERETARO,1
22,QUERETARO,016,SAN JUAN DEL RIO,1
22,QUERETARO,017,TEQUISQUIAPAN,1
22,QUERETARO,018,TOLIMAN,1
23,QUINTANA ROO,001,COZUMEL,1
23,QUINTANA ROO,002,FELIPE CARRILLO PUERTO,1
23,QUINTANA ROO,003,ISLA MUJERES,1
23,QUINTANA ROO,004,OTHON P. BLANCO,1
23,QUINTANA ROO,005,BENITO JUAREZ,1
23,QUINTANA ROO,006,JOSE MARIA MORELOS,1
23,QUINTANA ROO,007,LAZARO CARDENAS,1
23,QUINTANA ROO,008,SOLIDARIDAD,1
23,QUINTANA ROO,009,TULUM,1
23,QUINTANA ROO,010,BACALAR,1
24,SAN LUIS POTOSI,001,AHUALULCO,1
24,SAN LUIS POTOSI,002,ALAQUINES,1
24,SAN LUIS POTOSI,003,AQUISMON,1
24,SAN LUIS POTOSI,005,CARDENAS,1
24,SAN LUIS POTOSI,006,CATORCE,1
24,SAN LUIS POTOSI,007,CEDRAL,1
24,SAN LUIS POTOSI,008,CERRITOS,1
24,SAN LUIS POTOSI,009,CERRO DE SAN PEDRO,1
24,SAN LUIS POTOSI,010,CIUDAD DEL MAIZ,1
24,SAN LUIS POTOSI,011,CIUDAD FERNANDEZ,1
24,SAN LUIS POTOSI,012,TANCANHUITZ,1
24,SAN LUIS POTOSI,013,CIUDAD VALLES,1
24,SAN LUIS POTOSI,016,EBANO,1
24,SAN LUIS POTOSI,017,GUADALCAZAR,1
24,SAN LUIS POTOSI,020,MATEHUALA,1
24,SAN LUIS POTOSI,021,MEXQUITIC DE CARMONA,1
24,SAN LUIS POTOSI,022,MOCTEZUMA,1
24,SAN LUIS POTOSI,023,RAYON,1
24,SAN LUIS POTOSI,024,RIOVERDE,1
24,SAN LUIS POTOSI,025,SALINAS,1
24,SAN LUIS POTOSI,027,SAN CIRO DE ACOSTA,1
24,SAN LUIS POTOSI,028,SAN LUIS POTOSI,1
24,SAN LUIS POTOSI,029,SAN MARTIN CHALCHICUAUTLA,1

24,SAN LUIS POTOSI,032,SANTA MARIA DEL RIO,1
24,SAN LUIS POTOSI,033,SANTO DOMINGO,1
24,SAN LUIS POTOSI,034,SAN VICENTE TANCUAYALAB,1
24,SAN LUIS POTOSI,035,SOLEDAD DE GRACIANO SANCHEZ,1
24,SAN LUIS POTOSI,037,TAMAZUNCHALE,1
24,SAN LUIS POTOSI,038,TAMPACAN,1
24,SAN LUIS POTOSI,040,TAMUIN,1
24,SAN LUIS POTOSI,043,TIERRA NUEVA,1
24,SAN LUIS POTOSI,045,VENADO,1
24,SAN LUIS POTOSI,046,VILLA DE ARRIAGA,1
24,SAN LUIS POTOSI,047,VILLA DE GUADALUPE,1
24,SAN LUIS POTOSI,048,VILLA DE LA PAZ,1
24,SAN LUIS POTOSI,049,VILLA DE RAMOS,1
24,SAN LUIS POTOSI,050,VILLA DE REYES,1
24,SAN LUIS POTOSI,051,VILLA HIDALGO,1
24,SAN LUIS POTOSI,053,AXTLA DE TERRAZAS,1
24,SAN LUIS POTOSI,055,ZARAGOZA,1
24,SAN LUIS POTOSI,056,VILLA DE ARISTA,1
24,SAN LUIS POTOSI,057,MATLAPA,1
24,SAN LUIS POTOSI,058,EL NARANJO,1
25,SINALOA,001,AHOME,1
25,SINALOA,002,ANGOSTURA,1
25,SINALOA,003,BADIRAGUATO,1
25,SINALOA,004,CONCORDIA,1
25,SINALOA,005,COSALA,1
25,SINALOA,006,CULIACAN,1
25,SINALOA,007,CHOIX,1
25,SINALOA,009,ESCUINAPA,1
25,SINALOA,010,EL FUERTE,1
25,SINALOA,011,GUASAVE,1
25,SINALOA,012,MAZATLAN,1
25,SINALOA,013,MOCORITO,1
25,SINALOA,014,ROSARIO,1
25,SINALOA,015,SALVADOR ALVARADO,1
25,SINALOA,017,SINALOA,1
25,SINALOA,018,NAVOLATO,1
26,SONORA,002,AGUA PRIETA,1
26,SONORA,003,ALAMOS,1
26,SONORA,004,ALTAR,1
26,SONORA,012,BACUM,1
26,SONORA,016,BENJAMIN HILL,1
26,SONORA,017,CABORCA,1
26,SONORA,018,CAJEME,1
26,SONORA,019,CANANEA,1
26,SONORA,025,EMPALME,1
26,SONORA,026,ETCHOJOA,1
26,SONORA,029,GUAYMAS,1
26,SONORA,030,HERMOSILLO,1
26,SONORA,033,HUATABAMPO,1
26,SONORA,035,IMURIS,1
26,SONORA,036,MAGDALENA,1
26,SONORA,039,NACO,1
26,SONORA,041,NACOZARI DE GARCIA,1
26,SONORA,042,NAVOJOA,1
26,SONORA,043,NOGALES,1
26,SONORA,047,PITIQUITO,1
26,SONORA,048,PUERTO PEÑASCO,1
26,SONORA,054,SAN JAVIER,1
26,SONORA,055,SAN LUIS RIO COLORADO,1
26,SONORA,056,SAN MIGUEL DE HORCASITAS,1
26,SONORA,058,SANTA ANA,1
26,SONORA,070,GENERAL PLUTARCO ELIAS CALLES,1
26,SONORA,071,BENITO JUAREZ,1
26,SONORA,072,SAN IGNACIO RIO MUERTO,1
27,TABASCO,001,BALANCAN,1
27,TABASCO,002,CARDENAS,1
27,TABASCO,003,CENTLA,1
27,TABASCO,004,CENTRO,1
27,TABASCO,005,COMALCALCO,1
27,TABASCO,006,CUNDUACAN,1
27,TABASCO,007,EMILIANO ZAPATA,1
27,TABASCO,008,HUIMANGUILLO,1
27,TABASCO,010,JALPA DE MENDEZ,1
27,TABASCO,011,JONUTA,1
27,TABASCO,012,MACUSPANA,1
27,TABASCO,013,NACAJUCA,1
27,TABASCO,014,PARAISO,1
27,TABASCO,015,TACOTALPA,1
27,TABASCO,016,TEAPA,1
27,TABASCO,017,TENOSIQUE,1
28,TAMAULIPAS,001,ABASOLO,1
28,TAMAULIPAS,002,ALDAMA,1
28,TAMAULIPAS,003,ALTAMIRA,1
28,TAMAULIPAS,007,CAMARGO,1
28,TAMAULIPAS,008,CASAS,1
28,TAMAULIPAS,009,CIUDAD MADERO,1

28,TAMAULIPAS,011,GOMEZ FARIAS,1
28,TAMAULIPAS,012,GONZALEZ,1
28,TAMAULIPAS,013,GÑEMEZ,1
28,TAMAULIPAS,014,GUERRERO,1
28,TAMAULIPAS,015,GUSTAVO DIAZ ORDAZ,1
28,TAMAULIPAS,016,HIDALGO,1
28,TAMAULIPAS,017,JAUMAVE,1
28,TAMAULIPAS,018,JIMENEZ,1
28,TAMAULIPAS,019,LLERA,1
28,TAMAULIPAS,020,MAINERO,1
28,TAMAULIPAS,021,EL MANTE,1
28,TAMAULIPAS,022,MATAMOROS,1
28,TAMAULIPAS,023,MENDEZ,1
28,TAMAULIPAS,025,MIGUEL ALEMAN,1
28,TAMAULIPAS,027,NUEVO LAREDO,1
28,TAMAULIPAS,028,NUEVO MORELOS,1
28,TAMAULIPAS,029,OCAMPO,1
28,TAMAULIPAS,030,PADILLA,1
28,TAMAULIPAS,032,REYNOSA,1
28,TAMAULIPAS,033,RIO BRAVO,1
28,TAMAULIPAS,034,SAN CARLOS,1
28,TAMAULIPAS,035,SAN FERNANDO,1
28,TAMAULIPAS,037,SOTO LA MARINA,1
28,TAMAULIPAS,038,TAMPICO,1
28,TAMAULIPAS,039,TULA,1
28,TAMAULIPAS,040,VALLE HERMOSO,1
28,TAMAULIPAS,041,VICTORIA,1
28,TAMAULIPAS,042,VILLAGRAN,1
28,TAMAULIPAS,043,XICOTENCATL,1
29,TLAXCALA,001,AMAXAC DE GUERRERO,1
29,TLAXCALA,002,APETATITLAN DE ANTONIO CARVAJAL,1
29,TLAXCALA,004,ATLTZAYANCA,1
29,TLAXCALA,005,APIZACO,1
29,TLAXCALA,006,CALPULALPAN,1
29,TLAXCALA,007,EL CARMEN TEQUEXQUITLA,1
29,TLAXCALA,008,CUAPIAXTLA,1
29,TLAXCALA,009,CUAXOMULCO,1
29,TLAXCALA,010,CHIAUTEMPAN,1
29,TLAXCALA,011,MUÑOZ DE DOMINGO ARENAS,1
29,TLAXCALA,012,ESPAÑITA,1
29,TLAXCALA,013,HUAMANTLA,1
29,TLAXCALA,014,HUEYOTLIPAN,1
29,TLAXCALA,015,IXTACUIXTLA DE MARIANO MATAMOROS,1
29,TLAXCALA,016,IXTENCO,1
29,TLAXCALA,017,MAZATECOCHCO DE JOSE MARIA MORELOS,1
29,TLAXCALA,018,CONTLA DE JUAN CUAMATZI,1
29,TLAXCALA,019,TEPETITLA DE LARDIZABAL,1
29,TLAXCALA,020,SANCTORUM DE LAZARO CARDENAS,1
29,TLAXCALA,021,NANACAMILPA DE MARIANO ARISTA,1
29,TLAXCALA,022,ACUAMANALA DE MIGUEL HIDALGO,1
29,TLAXCALA,023,NATIVITAS,1
29,TLAXCALA,024,PANOTLA,1
29,TLAXCALA,025,SAN PABLO DEL MONTE,1
29,TLAXCALA,026,SANTA CRUZ TLAXCALA,1
29,TLAXCALA,027,TENANCINGO,1
29,TLAXCALA,028,TEOLOCHOLCO,1
29,TLAXCALA,029,TEPEYANCO,1
29,TLAXCALA,030,TERRENATE,1
29,TLAXCALA,031,TETLA DE LA SOLIDARIDAD,1
29,TLAXCALA,032,TETLATLAHUCA,1
29,TLAXCALA,033,TLAXCALA,1
29,TLAXCALA,034,TLAXCO,1
29,TLAXCALA,035,TOCATLAN,1
29,TLAXCALA,036,TOTOLAC,1
29,TLAXCALA,037,ZILTLALTEPEC DE TRINIDAD SANCHEZ SANTOS,1
29,TLAXCALA,038,TZOMPANTEPEC,1
29,TLAXCALA,039,XALOZTOC,1
29,TLAXCALA,040,XALTOCAN,1
29,TLAXCALA,041,PAPALOTLA DE XICOHTENCATL,1
29,TLAXCALA,042,XICOHTZINCO,1
29,TLAXCALA,043,YAUHQUEMEHCAN,1
29,TLAXCALA,044,ZACATELCO,1
29,TLAXCALA,045,BENITO JUAREZ,1
29,TLAXCALA,046,EMILIANO ZAPATA,1
29,TLAXCALA,047,LAZARO CARDENAS,1
29,TLAXCALA,048,LA MAGDALENA TLALTELULCO,1
29,TLAXCALA,049,SAN DAMIAN TEXOLOC,1
29,TLAXCALA,050,SAN FRANCISCO TETLANOHCAN,1
29,TLAXCALA,051,SAN JERONIMO ZACUALPAN,1
29,TLAXCALA,052,SAN JOSE TEACALCO,1
29,TLAXCALA,053,SAN JUAN HUACTZINCO,1
29,TLAXCALA,054,SAN LORENZO AXOCOMANITLA,1
29,TLAXCALA,055,SAN LUCAS TECOPILCO,1
29,TLAXCALA,056,SANTA ANA NOPALUCAN,1
29,TLAXCALA,057,SANTA APOLONIA TEACALCO,1
29,TLAXCALA,058,SANTA CATARINA AYOMETLA,1

29,TLAXCALA,059,SANTA CRUZ QUILEHTLA,1
29,TLAXCALA,060,SANTA ISABEL XILOXOXTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,001,ACAJETE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,002,ACATLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,003,ACAYUCAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,004,ACTOPAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,005,ACULA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,006,ACULTZINGO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,007,CAMARON DE TEJEDA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,008,ALPATLAHUAC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,009,ALTO LUCERO DE GUTIERREZ BARRIOS,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,010,ALTOTONGA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,011,ALVARADO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,012,AMATITLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,013,NARANJOS AMATLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,014,AMATLAN DE LOS REYES,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,015,ANGEL R. CABADA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,016,LA ANTIGUA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,017,APAZAPAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,019,ASTACINGA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,021,ATOYAC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,022,ATZACAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,023,ATZALAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,024,TLALTETELA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,025,AYAHUALULCO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,026,BANDERILLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,027,BENITO JUAREZ,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,028,BOCA DEL RIO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,029,CALCAHUALCO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,030,CAMERINO Z. MENDOZA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,031,CARRILLO PUERTO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,032,CATEMACO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,033,CAZONES DE HERRERA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,034,CERRO AZUL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,035,CITLALTEPETL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,036,COACOATZINTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,037,COAHUITLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,038,COATEPEC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,039,COATZACOALCOS,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,040,COATZINTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,041,COETZALA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,042,COLIPA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,043,COMAPA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,044,CORDOBA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,045,COSAMALOAPAN DE CARPIO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,046,COSAUTLAN DE CARVAJAL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,047,COSCOMATEPEC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,048,COSOLEACAQUE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,049,COTAXTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,050,COXQUIHUI,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,051,COYUTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,052,CUICHAPA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,053,CUITLAHUAC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,054,CHACALTIANGUIS,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,055,CHALMA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,056,CHICONAMEL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,057,CHICONQUIACO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,058,CHICONTEPEC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,059,CHINAMECA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,060,CHINAMPA DE GOROSTIZA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,061,LAS CHOAPAS,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,062,CHOCAMAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,063,CHONTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,065,EMILIANO ZAPATA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,066,ESPINAL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,068,FORTIN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,069,GUTIERREZ ZAMORA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,070,HIDALGOTITLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,071,HUATUSCO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,072,HUAYACOCOTLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,073,HUEYAPAN DE OCAMPO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,074,HUILOAPAN DE CUAUHTEMOC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,075,IGNACIO DE LA LLAVE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,077,ISLA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,078,IXCATEPEC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,079,IXHUACAN DE LOS REYES,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,080,IXHUATLAN DEL CAFE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,081,IXHUATLANCILLO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,082,IXHUATLAN DEL SURESTE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,083,IXHUATLAN DE MADERO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,084,IXMATLAHUACAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,085,IXTACZOQUITLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,086,JALACINGO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,087,XALAPA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,088,JALCOMULCO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,089,JALTIPAN,1

30,VERACRUZ DE IGNACIO DE LA LLAVE,090,JAMAPA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,091,JESUS CARRANZA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,092,XICO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,093,JILOTEPEC,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,094,JUAN RODRIGUEZ CLARA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,095,JUCHIQUE DE FERRER,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,097,LERDO DE TEJADA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,098,MAGDALENA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,099,MALTRATA,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,100,MANLIO FABIO ALTAMIRANO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,101,MARIANO ESCOBEDO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,102,MARTINEZ DE LA TORRE,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,104,MECAYAPAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,105,MEDELLIN DE BRAVO,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,106,MIAHUATLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,108,MINATITLAN,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,109,MISANTLA,1
